Disease,Source,Advice_1,Advice_2,Advice_3
malaria,WHO,Malaria can be prevented by avoiding mosquito bites and by taking medicines. Talk to a doctor about taking medicines such as chemoprophylaxis before travelling to areas where malaria is common.,Lower the risk of getting malaria by avoiding mosquito bites:,"Use mosquito nets when sleeping in places where malaria is present.Use mosquito repellents (containing DEET, IR3535 or Icaridin) after dusk.Use coils and vaporizers. Wear protective clothing.Use window screens."
chronic obstructive airway disease,N/A,Consult a doctor.,,
mump,N/A,No specific online advice found. Please consult a doctor.,,
cholera,WHO,"Preventing and controlling cholera involves a combination of strengthening surveillance, improving water, sanitation and hygiene, increasing risk communication and community engagement, improving access to quality treatment and implementing oral cholera vaccine campaigns.","Cholera surveillance should be part of an integrated disease surveillance system. This includes timely reporting, data analysis, interpretation and sharing of information from local to global levels. Rapid diagnostic tests (RDTs) are useful for early detection of probable cholera outbreaks, but confirmation requires laboratory testing by culture, seroagglutination or polymerase chain reaction (PCR).",Countries at risk or affected by cholera should strengthen their surveillance systems according to the revised Global Taskforce on Cholera Control (GTFCC) recommendations to quickly detect and respond to outbreaks.
endocarditis,N/A,No specific online advice found. Please consult a doctor.,,
zika virus,WHO,There is no specific treatment available for Zika virus infection or disease.,"People with symptoms such as rash, fever or joint pain should get plenty of rest, drink fluids, and treat symptoms with antipyretics and/or analgesics. If a specific diagnosis cannot be made and dengue cannot be ruled out, patients should be treated as if they have dengue, according to standardized clinical guidelines. This includes avoidance of nonsteroidal anti-inflammatory drugs until dengue virus infections are ruled out because of bleeding risk. If symptoms worsen, patients should seek medical care and advice.","Pregnant women living in areas with Zika transmission or who develop symptoms of Zika virus infection should seek medical attention for laboratory testing, information, counselling and other clinical care."
