timestamp,source_url,proposed_disease,symptoms,status
2026-01-01 22:02:21,https://www.who.int/news-room/fact-sheets/detail/malaria,malaria,Pending,Duplicate
2026-01-01 22:06:03,https://www.who.int/news-room/fact-sheets/detail/malaria,malaria,Pending,Duplicate
2026-01-01 22:08:59,User Chat,malaia,Pending,Rejected
2026-01-01 22:11:34,https://www.who.int/news-room/fact-sheets/detail/malaria,malaria,Pending,Duplicate
2026-01-01 22:13:49,https://www.who.int/news-room/fact-sheets/detail/cholera,cholera,"diarrhea, para_, redness, _, ache, gag",Approved
